sale_id,product_id,quantity,discount,unit_price,unit_cost
1,4,1,0.15,19059.59,16284.04
1,11,1,0,37366.11,29328.87
1,84,3,0.15,4099.96,3057.64
2,76,1,0,3430.15,2769.65
3,15,1,0.15,8716.42,7172.96
4,32,1,0,31328.71,25759.55
5,118,1,0.15,1198.74,910.08
6,45,1,0.15,12288.95,9920.28
7,74,1,0,2983.21,2320.79
8,118,3,0,1198.74,910.08
9,120,2,0.1,1861.62,1512.43
10,88,2,0,8530.57,7164.7
10,99,1,0.2,4558.37,3844.16
11,29,1,0.05,32511.15,25921.35
11,44,1,0.2,33553.11,26819.15
12,17,1,0,6774.4,5453
12,30,1,0.2,43457.18,35913.46
13,100,4,0,3280.7,2734.71
13,101,3,0.15,1459.15,1135.82
13,103,3,0.05,642.13,517.28
14,23,1,0,23449.3,19546.85
14,75,3,0,3132.72,2420.05
14,94,2,0.25,1307.79,1131.43
15,88,2,0,8530.57,7164.7
16,57,1,0.1,10919.01,8449.42
16,61,1,0.15,6122.69,4930.93
16,88,2,0.2,8530.57,7164.7
16,101,1,0.1,1459.15,1135.82
17,4,1,0.15,19059.59,16284.04
17,20,1,0.15,17899.64,15367.23
17,52,2,0,8639.23,6791.57
18,25,1,0.15,25300.08,21052.74
19,24,1,0,23132.89,17177.19
19,42,1,0.084130435,41592.8,33329.48
19,72,2,0,2022.18,1691.08
19,95,4,0.05,810.49,602.59
20,19,1,0.15,15032.26,12417.54
20,38,2,0.1,24245.73,18469.45
20,40,2,0.05,46147.36,36854.06
20,106,1,0.05,254.07,201.91
21,81,1,0.1,5167.83,3948.66
22,42,1,0.1,41592.8,33329.48
22,96,2,0.1,943.63,713.86
23,10,1,0.1,28984.82,24375.23
23,64,1,0.15,8286.71,6362.4
24,10,1,0,28984.82,24375.23
24,12,2,0.1,50160.12,38153.08
24,40,1,0.05,46147.36,36854.06
24,57,1,0.15,10919.01,8449.42
25,13,1,0.1,67300.5,50244.66
26,88,3,0.2,8530.57,7164.7
27,74,1,0.1,2983.21,2320.79
28,17,1,0.1,6774.4,5453
28,47,1,0.05,33711.86,28748.63
28,95,3,0.05,810.49,602.59
29,5,1,0.084130435,23034.18,18268.86
29,40,1,0.1,46147.36,36854.06
29,101,1,0.05,1459.15,1135.82
30,101,1,0.05,1459.15,1135.82
30,105,1,0.15,369.29,293.25
31,12,1,0.15,50160.12,38153.08
31,17,1,0.05,6774.4,5453
32,18,1,0,25982.69,22325.13
32,19,2,0,15032.26,12417.54
32,71,1,0,3616.71,2805.57
32,92,3,0.1,1964.69,1465.53
33,109,1,0,525.46,445.88
34,89,1,0.15,5504.56,4448.14
35,6,1,0.084130435,34593.4,28061.7
35,10,1,0.2,28984.82,24375.23
35,56,1,0.1,14281.19,10925.54
36,5,2,0,23034.18,18268.86
36,76,1,0,3430.15,2769.65
36,109,5,0.1,525.46,445.88
37,30,76,0.1,43457.18,35913.46
37,88,2,0,8530.57,7164.7
37,120,2,0.05,1861.62,1512.43
38,17,2,0.1,6774.4,5453
38,19,1,0,15032.26,12417.54
38,42,1,0,41592.8,33329.48
39,103,3,0,642.13,517.28
40,83,1,0,1338.95,1016.05
41,21,27,0.1,10769.33,8068.73
41,52,2,0.15,8639.23,6791.57
41,55,61,0.05,6831.22,5452.4
42,10,1,0,28984.82,24375.23
42,63,1,0.15,11424.44,8683.37
43,24,1,0.15,23132.89,17177.19
43,95,1,0,810.49,602.59
44,25,2,0,25300.08,21052.74
44,58,2,0.2,4545.08,3591.57
45,51,2,0.15,15493.11,12939.08
46,5,1,0.2,23034.18,18268.86
46,10,1,0.05,28984.82,24375.23
47,16,2,0.05,10389.79,8227.78
