sale_id,sale_date,payment_method,order_status,customer_id,store_id,employee_id
1,1/25/2026,Credit Card,Pending,216,1,7
2,4/27/2026,Cash,Completed,285,1,2
3,5/29/2026,Debit Card,Pending,28,1,5
4,6/17/2026,Credit Card,Pending,212,1,5
5,1/29/2026,Mobile Wallet,Completed,59,3,15
6,6/28/2026,Installment,Completed,80,3,15
7,6/15/2026,Debit Card,Pending,155,1,7
8,5/25/2026,Cash,Cancelled,67,1,6
9,6/5/2026,Mobile Wallet,Completed,207,1,8
10,2/8/2026,Installment,Completed,163,1,6
11,4/5/2026,Mobile Wallet,Completed,67,1,7
12,6/9/2026,Installment,Returned,240,3,17
13,6/19/2026,Cash,Completed,115,3,18
14,5/4/2026,Installment,Returned,53,1,3
15,4/11/2026,Credit Card,Cancelled,2,2,13
16,1/1/2026,Mobile Wallet,Pending,185,2,10
17,5/16/2026,Debit Card,Completed,74,2,12
18,1/21/2026,Debit Card,Completed,318,2,12
19,3/9/2026,Cash,Pending,321,1,7
20,5/16/2026,Mobile Wallet,Returned,347,1,1
21,4/4/2026,Unknown,Unknown,103,2,10
22,2/3/2026,Installment,Returned,2,1,8
23,6/26/2026,Debit Card,Returned,42,1,8
24,6/19/2026,Installment,Completed,155,1,1
25,6/15/2026,Mobile Wallet,Completed,251,1,6
26,2/28/2026,Credit Card,Completed,81,1,5
27,6/9/2026,Debit Card,Returned,196,1,2
28,5/10/2026,Credit Card,Completed,103,1,5
29,4/5/2026,Credit Card,Cancelled,231,2,9
30,2/20/2026,Credit Card,Completed,234,2,13
31,1/18/2026,Mobile Wallet,Returned,283,3,15
32,1/25/2026,Installment,Completed,324,1,6
33,5/11/2026,Mobile Wallet,Completed,150,3,16
34,1/19/2026,Installment,Completed,73,3,16
35,1/26/2026,Credit Card,Cancelled,297,3,17
36,5/17/2026,Installment,Pending,147,2,12
37,3/20/2026,Installment,Completed,340,1,4
38,2/24/2026,Mobile Wallet,Cancelled,42,1,6
39,4/8/2026,Installment,Returned,253,2,9
40,6/11/2026,Mobile Wallet,Pending,272,2,14
41,5/27/2026,Cash,Completed,315,2,9
42,3/15/2026,Cash,Cancelled,258,1,5
43,4/16/2026,Debit Card,Pending,276,3,17
44,3/9/2026,Cash,Completed,118,1,2
45,5/16/2026,Unknown,Cancelled,318,1,5
46,3/5/2026,Debit Card,Completed,125,2,11
47,1/21/2026,Installment,Cancelled,244,2,10
48,3/11/2026,Debit Card,Completed,272,1,4
49,1/6/2026,Installment,Completed,207,3,17
50,2/2/2026,Installment,Completed,103,3,17
51,5/13/2026,Installment,Completed,31,3,16
52,6/21/2026,Credit Card,Pending,103,1,7
53,1/19/2026,Cash,Cancelled,305,2,11
54,3/12/2026,Installment,Cancelled,67,2,10
55,5/16/2026,Credit Card,Completed,158,1,3
56,3/14/2026,Credit Card,Returned,87,3,17
57,5/17/2026,Cash,Completed,11,2,12
58,6/5/2026,Mobile Wallet,Returned,289,1,6
59,4/23/2026,Credit Card,Cancelled,265,1,8
60,3/31/2026,Credit Card,Pending,226,3,16
61,3/9/2026,Debit Card,Returned,118,1,7
62,6/17/2026,Mobile Wallet,Completed,20,3,18
63,6/10/2026,Installment,Completed,167,1,5
64,2/2/2026,Mobile Wallet,Completed,246,3,16
65,6/5/2026,Cash,Completed,310,3,15
66,5/22/2026,Debit Card,Pending,161,1,8
67,6/28/2026,Installment,Cancelled,13,2,13
68,6/24/2026,Installment,Cancelled,305,1,4
69,5/17/2026,Debit Card,Returned,118,1,7
70,5/11/2026,Mobile Wallet,Completed,233,2,9
71,1/5/2026,Installment,Returned,263,2,13
72,6/19/2026,Credit Card,Completed,118,1,3
73,2/24/2026,Cash,Completed,236,3,17
74,1/16/2026,Mobile Wallet,Completed,184,2,12
75,6/29/2026,Credit Card,Completed,103,2,10
76,6/26/2026,Installment,Cancelled,35,1,1
77,4/21/2026,Installment,Cancelled,80,2,14
78,6/23/2026,Cash,Returned,340,2,10
79,4/22/2026,Installment,Returned,135,2,12
80,3/7/2026,Installment,Returned,320,1,7
81,2/12/2026,Unknown,Cancelled,234,1,4
82,3/1/2026,Mobile Wallet,Cancelled,347,1,5
83,6/12/2026,Debit Card,Completed,268,1,7
84,2/27/2026,Cash,Completed,29,1,3
85,6/13/2026,Debit Card,Returned,348,3,16
86,4/14/2026,Mobile Wallet,Completed,157,1,3
87,6/2/2026,Mobile Wallet,Completed,70,1,6
88,6/30/2026,Credit Card,Pending,272,1,3
89,4/16/2026,Debit Card,Completed,318,2,13
90,6/27/2026,Debit Card,Returned,28,1,1
91,2/5/2026,Credit Card,Cancelled,314,3,16
92,1/8/2026,Mobile Wallet,Completed,324,2,13
93,2/27/2026,Mobile Wallet,Pending,114,1,3
