sale_id,product_id,quantity,unit_price,unit_cost,discount
1,4,1,18494.58,15693.14,0.15
1,11,1,37821.5,28683,0
1,84,3,4264.13,3120.48,0.15
2,76,1,3593.4,2695.02,0
3,15,1,8927.28,6965.5,0.15
4,32,1,30928.92,26574.53,0
5,118,1,1155.82,953.57,0.15
6,45,1,12232.13,9537.59,0.15
6,73,0,2646.41,1986.01,0
7,74,1,2982.88,2212.58,0
8,118,3,1172.12,899.54,0
9,120,2,1922.53,1449.59,0.1
10,88,2,8342.12,7243.33,0
10,99,1,4556.25,3983.62,0.2
11,29,1,32136.18,24740.41,0.05
11,44,1,32565.74,25972.81,0.2
12,17,1,6642.4,5475.66,0
12,30,1,43157.69,34305.47,0.2
13,100,4,3230.77,2605.08,0
13,101,3,1520.83,1182.1,0.15
13,103,3,649.11,537.62,0.05
14,23,1,24221.34,19417.99,0
14,75,3,3213.31,2381.56,0
14,94,2,1348.36,1141.72,0.25
15,88,2,8468.77,7328.93,0
16,57,1,11176.06,8075.21,0.1
16,61,1,6342.2,5146.89,0.15
16,88,2,8719.35,7292.21,0.2
16,101,1,1402.13,1123.11,0.1
17,4,1,18416.42,16090.73,0.15
17,20,1,17834.31,15478.8,0.15
17,52,2,8698.24,6804.41,0
18,25,1,25921.54,21946.77,0.15
19,24,1,23825.93,17951.82,0
19,42,1,39868.93,32496.02,NULL
19,72,2,1947.74,1609.09,0
19,95,4,813.96,592.8,0.05
20,19,1,14824.36,12615.26,0.15
20,38,2,24930.49,19042.48,0.1
20,40,2,45660.97,37279.9,0.05
20,106,1,256.81,194.32,0.05
21,81,1,5203.2,3877.97,0.1
22,42,1,40613.36,32258.89,0.1
22,96,2,940.11,709.57,0.1
23,10,1,28887.55,25510.84,0.1
23,64,1,8052.89,6081.55,0.15
23,66,-1,15429.49,12419.19,0.15
24,10,1,27721.21,23594.74,0
24,12,2,50713.53,37443.53,0.1
24,40,1,47374.77,36029.06,0.05
24,57,1,11398.17,8260.53,0.15
25,13,1,69784.26,48371.65,0.1
26,88,3,8641.76,6911.72,0.2
27,74,1,3018.4,2216.26,0.1
28,17,1,6899.35,5649.62,0.1
28,47,1,33981.19,27431.82,0.05
28,95,3,779.24,574.78,0.05
29,5,1,23528.38,17828.68,NULL
29,40,1,47150.41,35235.48,0.1
29,101,1,1423.76,1156.08,0.05
30,101,1,1491.01,1147.24,0.05
30,105,1,382.49,288.95,0.15
31,12,1,49878.28,38195.18,0.15
31,17,1,6672.6,5222.6,0.05
32,18,1,26959.26,21528.3,0
32,19,2,14838.88,12818.25,0
32,71,1,3586.32,2845.38,0
32,92,3,1913.01,1440,0.1
33,109,1,516.35,458.73,0
34,89,1,5413.73,4407.28,0.15
35,6,1,33418.31,26783.8,NULL
35,10,1,29425.33,24303.77,0.2
35,56,1,14957.41,11058.74,0.1
36,5,2,21941.29,18468.06,0
36,76,1,3535.81,2772.64,0
36,109,5,548.07,464.24,0.1
37,30,76,42218.08,37101.21,0.1
37,88,2,8770.17,7170.56,0
37,120,2,1876.79,1488.84,0.05
38,17,2,6693.85,5724.46,0.1
38,19,1,14398.57,11892.66,0
38,42,1,39648.75,34083.59,0
39,103,3,670.1,503.03,0
40,83,1,1339.42,1023.61,0
41,21,27,10799.22,7706.79,0.1
41,52,2,8680.9,6735.93,0.15
41,55,61,6990.42,5641.92,0.05
42,10,1,28813.86,23812.61,0
42,63,1,11392.83,8704.6,0.15
43,24,1,22540.76,16735.86,0.15
43,95,1,837.72,590.12,0
44,25,2,25188.31,21575.24,0
44,58,2,4666.73,3541.99,0.2
45,51,2,14897.27,12604.02,0.15
46,5,1,23570.41,18963.49,0.2
46,10,1,28584.49,24014.44,0.05
47,16,2,10395.65,8568.93,0.05
47,75,2,3180.75,2445.51,0.25
48,25,1,25170.97,20881.9,0.15
48,58,1,4576.6,3708.94,0.1
49,96,54,908.27,716.55,0.2
50,19,2,15159.67,11968.2,0
50,60,1,16082.44,12756.69,0.2
50,81,3,5043.95,3864.51,0
50,96,1,4687.56,683.99,0
51,19,2,15442.11,12914.08,0.1
51,75,1,3156.53,2452.15,0.2
51,108,2,1796.27,1511.24,0.1
52,47,0,32433.47,28068.37,0.2
52,117,3,977.23,683.29,NULL
52,120,1,1871.78,1577.48,1.5
53,4,2,19522.46,15675.66,0
53,59,2,10842.19,8585.85,0.15
53,64,1,7900.61,6318.77,0
53,84,1,3949.24,3169.82,0.15
54,39,1,41733.49,34368.04,0.05
54,54,1,17496.31,14473.53,0.15
54,100,1,3299.38,2792.68,0
55,84,3,3943.76,3179.16,0
56,18,1,26285.73,23428.29,0.1
56,30,1,45188.31,36241.99,0.05
57,42,1,40989.53,33159.15,0
57,73,1,2476.93,2003.4,0.25
57,101,2,1445.85,1130.11,0.05
58,11,2,37280.56,28257.21,0
58,23,1,4.01,20066.71,0.1
58,78,3,19058.49,15049.3,0
59,38,1,23236.6,19200.1,0.1
59,57,1,11373.61,8818.34,0
60,113,4,1584.6,1261.18,0.15
61,76,2,3409.08,12.78,0.1
61,95,1,822.6,595.32,0.2
62,17,1,6834.07,5695.53,0.2
62,51,1,14868.58,12676.87,0.05
63,17,2,7043.55,5496.53,0
63,47,2,34871.77,28537.87,0
63,119,1,1924.08,1600.72,0.15
64,89,3,5327.54,4289.43,0.05
64,99,3,4701.5,8.67,0
64,110,1,1335.41,1090.11,0.25
65,17,1,6787.36,5493.97,0
65,105,2,387.36,284.77,0.1
66,4,1,19279.69,15631.81,0.15
66,35,1,42036.89,32265.28,0
66,36,2,45365.39,39334.84,NULL
66,53,1,10545.58,7906.73,0.2
66,70,2,4139.7,3133.06,0.2
67,6,1,33579.27,29012.4,0.15
67,30,76,44558.68,37438.04,0.25
67,96,3,959.34,688.23,0.1
68,17,1,7047.1,5703.76,0.15
68,70,1,4087.69,3049.48,0.2
69,106,2,255.08,207.95,0.1
70,49,1,8328.48,7733.53,0.05
71,70,2,4162.21,3223.54,0.1
71,93,4,1530.33,1326.22,0.05
72,67,1,6101.73,4508.94,0
73,57,1,11280.47,8276.16,0.05
74,56,2,13723.67,11150.96,0.1
74,75,2,3240.72,2406.6,0.1
75,73,1,2577.36,1910.32,0
76,7,1,43000.58,35308.25,0.1
76,18,1,26744.81,22832.72,0
76,43,1,10833.57,8182.8,0.25
76,54,1,18166.14,14055.72,-0.05
77,58,-1,4466.5,3594.11,0
78,6,1,216369.53,28839.14,0.1
78,16,1,10604.66,8075.41,0.2
78,27,1,33950.46,30462.58,0.15
79,12,1,52328.88,39275.53,0.1
79,46,1,23711.41,18750.51,0
80,17,2,6690.54,5694.66,0.25
80,57,1,11094.95,8768.45,0.05
80,82,3,6290.92,5269.6,0.15
80,105,1,362.55,303.26,0.05
80,120,2,1770.02,1457.51,0.05
81,100,1,3337.57,2670.52,0.1
82,8,1,52519.47,47595.67,0.1
82,30,1,44472.17,35132.7,0
83,17,1,6481.25,5484.48,0.05
83,44,2,34390.08,25486.77,0.1
83,45,1,11918.53,10293.15,0
83,47,1,32729.32,27823.25,0
83,51,1,16191.59,13401.21,1.5
84,72,1,2050.03,1688.41,0.1
84,73,3,2573.7,1910.32,0.15
84,110,1,1343.23,1119.56,0.2
85,4,1,18678.59,15847.45,0
85,18,1,26390.46,21610.87,0.1
85,35,1,41548.85,30430.05,0.1
85,47,1,33011.04,12.2,0.05
86,101,2,1438.3,1133.66,0.05
87,77,1,3712.9,2933.19,0.05
88,51,2,15163.53,13546.39,0.05
88,95,3,841.36,617.95,0.2
88,96,1,927.15,725.45,0.1
89,19,1,15490.32,12404.1,0
89,44,1,32264.06,26724.57,0
89,70,-2,3913.91,3077.06,0.05
89,78,-3,18945.77,15348.23,0.1
89,83,1,1365.32,15.73,0
90,38,1,23738.83,18483.28,0.25
90,47,1,33415.21,27986.39,0.05
90,77,1,4019.82,19.15,0.1
91,5,1,22783.98,18162.81,0.05
91,18,1,24841.54,22931.92,0.25
91,55,1,6668.37,5352.96,0
92,5,1,22500.52,18685.73,0.2
92,20,2,17718.28,16000.93,0.05
93,17,1,6665.9,5626.69,0.15
93,39,2,40347.06,31931.14,0.05
93,107,1,1435.03,1301.4,0.05
93,115,5,1098.29,938.08,0
94,61,1,6396.91,4986.8,0.1
95,61,2,6018.41,4982.69,NULL
95,90,1,5380.03,4670.51,0
96,24,1,23832.46,16473.36,0.05
97,32,1,31970.1,26821.43,0.1
97,64,1,8415.1,6374.27,0.05
97,117,1,966.91,721.88,0.05
98,46,2,22431.69,18307.04,0.1
98,120,69,1797.77,1517.83,0.1
99,24,1,23965.03,16712.26,0
100,54,1,18289.81,15216.53,0.25
100,62,2,6764.2,5436.55,0.15
101,60,1,16014.96,13442.19,0.15
101,105,1,352.16,279.17,0.15
102,33,2,21715.9,16822.69,0
102,106,1,251.48,201.61,0.25
103,55,2,6596.87,5344.15,0.1
104,25,1,24347.89,21650.75,0.2
104,34,1,27464.66,22279.54,0.05
104,44,1,32647.19,27549.73,0.05
105,47,2,34522.72,28087.41,-0.1
105,101,1,1398.58,1087.42,NULL
105,120,3,1890.53,1456.65,0.1
106,50,2,14406.33,10936.67,0.2
107,10,2,28739.55,23192.4,0.05
108,57,1,11279.61,8538.03,0.2
109,5,1,22232.24,18699.77,0.1
110,18,1,25524.68,22352.71,0.25
110,35,1,38428.42,30066.57,0.15
110,43,1,10141.79,7614.45,0
110,81,1,5222.45,3874.5,0.25
110,85,2,12119.82,8553.86,0
111,88,2,8663.69,7144.21,0
111,101,3,1428.69,1089.6,0.15
112,72,1,1924.55,1690.58,0
112,75,1,3278.98,2434.81,0.05
112,92,1,1961.42,1525.27,0.05
112,101,1,1463.99,1106.81,0
113,99,1,4509.89,3795.24,0.25
113,114,0,3233.91,2654.94,0
