sale_id,sale_date,payment_method,order_status,customer_id,store_id,employee_id
1,2026-01-25,"Credit Card",Pending,216,1,7
2,2026-04-27,Cash,Completed,285,1,2
3,2026-05-29," Debit Card "," Pending",28,1,5
4,2026-06-17,"Credit Card",Pending,212,1,5
5,2026-01-29,"Mobile Wallet",Completed,59,3,15
6,2026-06-28," Installment",Completed,80,3,15
7,2026-06-15,"Debit Card",Pending,155,1,7
8,2026-05-25,Cash,Cancelled,67,1,6
9,2026-06-05,"Mobile Wallet","Completed ",207,1,8
10,2026-02-08,Installment,Completed,163,1,6
11,2026-04-05,"Mobile Wallet",Completed,67,1,7
12,2026-06-09,Installment,Returned,240,3,17
13,2026-06-19,Cash,Completed,115,3,18
14,2026-05-04,Installment,Returned,53,1,3
15,2026-04-11,"Credit Card",Cancelled,2,2,13
16,2026-01-01,"Mobile Wallet",Pending,185,2,10
17,2026-05-16,"Debit Card",Completed,74,2,12
18,2026-01-21,"Debit Card",Completed,318,2,12
19,2026-03-09,Cash,Pending,321,1,7
20,2026-05-16,"Mobile Wallet",Returned,347,1,1
21,2026-04-04,"   ","   ",103,2,10
22,2026-02-03,Installment,Returned,2,1,8
23,2026-06-26,"Debit Card",Returned##,42,1,8
24,2026-06-19,Installment,Completed,155,1,1
25,2026-06-15,"Mobile Wallet",Completed,251,1,6
26,2026-02-28,"Credit Card",Completed,81,1,5
27,2026-06-09,"DEBIT CARD",Returned,196,1,2
28,2026-05-10,"Credit Card",Completed,103,1,5
29,2026-04-05,"Credit Card",Cancelled,231,2,9
30,2026-02-20,"Credit Card",Completed,234,2,13
31,2026-01-18,"Mobile Wallet",Returned,283,3,15
32,2026-01-25,Installment,Completed,324,1,6
33,2026-05-11,"Mobile Wallet",Completed,150,3,16
34,2026-01-19,Installment,Completed,73,3,16
35,2026-01-26,"Credit Card",Cancelled,297,3,17
36,2026-05-17,Installment,Pending,147,2,12
37,2026-03-20,Installment,Completed,340,1,4
38,2026-02-24,"Mobile Wallet",Cancelled,42,1,6
39,2026-04-08,Installment,Returned,253,2,9
40,2026-06-11,"Mobile Wallet",Pending,272,2,14
41,2026-05-27,Cash,Completed,315,2,9
42,2026-03-15,Cash,Cancelled,258,1,5
43,2026-04-16,"Debit Card",Pending,276,3,17
44,2026-03-09,Cash,Completed,118,1,2
45,2026-05-16,,Cancelled,318,1,5
46,2026-03-05,"Debit Card",Complete,125,2,11
47,2026-01-21,Installment,Cancelled,244,2,10
48,2026-03-11,"Debit Card",Completed,272,1,4
49,2026-01-06,installment," Completed",207,3,17
50,2026-02-02,Installment,Completed,103,3,17
51,2026-05-13,Installment,Completed,31,3,16
52,2026-06-21,"Credit Card",Pending,103,1,7
53,2026-01-19,Cash,Cancelled,305,2,11
54,2026-03-12,Installment,Cancelled,67,2,10
55,2026-05-16,"Credit Card",Completed,158,1,3
56,2026-03-14,"Credit Card",Returned,87,3,17
57,2026-05-17,Cash,Completed,11,2,12
58,2026-06-05,"Mobile Wallet",Returned,289,1,6
59,2026-04-23,"Credit Card",Cancelled,265,1,8
60,2026-03-31,"Credit Card",Pending,226,3,16
61,2026-03-09,"Debit Card",Returned,118,1,7
62,2026-06-17,"Mobile Wallet",Completed,20,3,18
63,2026-06-10,Installment,Completed,167,1,5
64,2026-02-02,"Mobile Wallet",Completed,246,3,16
65,2026-06-05,Cash,Completed,310,3,15
66,2026-05-22,"Debit Card",Pending,161,1,8
67,2026-06-28,Installment,Cancelled,13,2,13
68,2026-06-24,Installment,Cancelled,305,1,4
69,2026-05-17,"Debit Card",Returned,118,1,7
70,2026-05-11,"Mobile Wallet",Completed,233,2,9
71,2026-01-05,Installment,Returned,263,2,13
72,2026-06-19,"Credit Card",Completed,118,1,3
73,2026-02-24,Cash,Completed,236,3,17
74,2026-01-16,"Mobile Wallet",Completed,184,2,12
75,2026-06-29,"Credit Card",Completed,103,2,10
76,2026-06-26,Installment,Cancelled,35,1,1
77,2026-04-21,Installment,CANCELLED,80,2,14
78,2026-06-23,Cash,Returned,340,2,10
79,2026-04-22,Installment,Returned,135,2,12
80,2026-03-07,Installment,Returned,320,1,7
81,2026-02-12,,Cancelled,234,1,4
82,2026-03-01,"Mobile Wallet",Cancelled,347,1,5
83,2026-06-12,"Debit Card",Completed,268,1,7
84,2026-02-27,Cash,Completed,29,1,3
85,2026-06-13,"Debit Card",Returned,348,3,16
86,2026-04-14,"Mobile Wallet",Completed,157,1,3
87,2026-06-02,"Mobile Wallet",Completed,70,1,6
88,2026-06-30,"Credit Card",Pending,272,1,3
89,2026-04-16,"Debit Card",Completed,318,2,13
90,2026-06-27,"Debit Card",Returned,28,1,1
91,2026-02-05,"Credit Card",Cancelled,314,3,16
92,2026-01-08,"Mobile Wallet",Completed,324,2,13
93,2026-02-27,"Mobile Wallet",Pending,114,1,3
94,2026-05-17,"Mobile Wallet",Completed,247,1,1
95,2026-05-11,Cash,Pending,296,2,12
96,2026-02-25,"Mobile Wallet",Completed,139,3,15
97,2026-04-23,"Debit Card",Completed,326,2,12
98,2026-04-24,Cash,Completed,143,3,17
99,2026-05-21,Cash,Returned,336,1,5
100,2026-03-02,"Credit Card",Completed,265,2,12
101,2026-03-03,"Credit Card",Completed,336,1,5
102,2026-04-04,"Debit Card",Completed,314,1,6
103,2026-04-26,"Credit Card",Completed,224,1,2
104,2026-06-14,Installment,Completed,8,1,1
105,2026-02-13,Installment,Cancelled,24,2,12
106,2026-02-28,"Mobile Wallet",Completed,185,2,11
107,2026-02-21,Cash,Completed,20,2,9
108,2026-05-31,Installment,Completed,284,3,15
109,2026-06-03,Installment,Completed,310,2,14
110,2026-01-24,Cash,Completed,87,2,13
111,2026-05-27,Cash,Completed,172,1,7
112,2026-01-23,"credit card",Cancelled,220,1,8
113,2026-05-22,Cash,Completed,7,1,6
114,2026-06-05,Installment,Completed,37,3,18
115,2026-04-05,Cash,Completed,23,2,13
116,2026-05-04,"Credit Card",Completed,276,2,12
117,2026-03-03,"Mobile Wallet",Completed,150,3,17
118,2026-05-16,Installment,Completed,240,3,15
119,2026-06-05,,Returned,339,3,16
120,2026-01-01,Cash,Completed,67,2,9
121,2026-05-06,"Credit Card",Cancelled,264,1,3
122,2026-02-11,"Credit Card",Pending,59,1,4
123,2026-02-18,NULL,,36,1,1
124,2026-04-24,"Mobile Wallet",Completed,7,3,17
125,2026-02-19,Cash,Cancelled,68,1,1
126,2026-05-12,"Mobile Wallet",Cancelled,312,2,13
127,2026-04-19,"Credit Card",Completed,266,2,13
128,2026-03-22,"Mobile Wallet",Completed,98,1,3
129,2026-03-08,Cash,Pending,67,2,11
130,2026-03-03,Cash,Cancelled,174,2,10
131,2026-01-08,"Mobile Wallet",Completed,106,1,7
132,2026-02-28,"Mobile Wallet",Completed,185,2,11
133,2026-05-13,Installment,pending,305,1,6
134,2026-01-06,"Credit Card",Completed,265,2,10
135,2026-05-09,"Credit Card",Cancelled,42,1,2
136,2026-05-05,"Mobile Wallet",Completed,317,1,7
137,2026-02-24,Cash,Cancelled,323,1,3
138,2026-03-15,"Debit Card",Completed,80,2,12
139,2026-05-05,"Mobile Wallet",Completed,313,2,13
140,2026-01-07,installment,completed,15,3,15
141,2026-03-13,Installment,Completed,8,1,3
142,2026-03-06,"Mobile Wallet",Pending,87,1,2
143,2026-04-20,"Debit Card",Completed,148,1,6
144,2026-04-20,Cash,Completed,113,1,7
145,2026-04-14,NULL,Completed,309,3,17
146,2026-06-18,Cash,Completed,212,2,9
147,2026-04-20,"Mobile Wallet",Completed,324,3,15
148,2026-06-08,"Credit Card",Cancelled,54,2,12
149,2026-06-07,"Debit Card",Completed,99,1,4
150,2026-06-30,"Debit Card",Completed,207,1,1
151,2026-02-25,"Mobile Wallet",Completed,165,2,9
152,2026-02-08,"Debit Card",Pending,83,2,13
153,2026-05-15,Installment,completed,279,1,3
154,2026-06-08,"Credit Card!!",Completed,196,3,17
155,2026-02-20,"Credit Card",pending,183,3,16
156,2026-01-13,,Cancelled,165,2,12
157,2026-04-26,"Credit Card",Completed,309,2,12
158,2026-01-18,Installment,Completed,85,2,12
159,2026-02-28,"Mobile Wallet",Completed,315,3,18
160,2026-01-24,Installment,Completed,165,1,1
161,2026-06-30,Cash,Completed,144,3,16
162,2026-03-27,Cash,Cancelled,32,2,12
163,2026-03-08,"Credit Card",Completed,330,1,7
164,2026-04-16,Cash,Completed,231,1,4
165,2026-05-12,"Mobile Wallet"," Returned",108,3,16
166,2026-02-27,"Mobile Wallet",Completed,207,1,5
167,2026-04-28,"Mobile Wallet",Completed,310,1,7
168,2026-02-25,,NULL,133,1,7
169,2026-02-24,Cash,Completed,306,1,6
170,2026-05-11,Cash,Completed,115,3,18
171,2026-06-23,Installment,Pending,100,2,12
172,2026-05-15,Cash,Pending,78,3,17
173,2026-05-05,Cash,Pending,256,2,13
174,2026-01-25,Cash,Completed,236,3,18
175,2026-03-01,Cash,Completed,163,1,5
176,2026-05-07,Cash,Pending,231,2,12
177,2026-02-08,"Debit Card",Completed,78,3,17
178,2026-06-09,Installment,Returned,231,1,5
179,2026-01-13,"Credit Card",Completed,81,1,8
180,2026-05-04,"Mobile Wallet",Completed,95,3,16
181,2026-05-15,"Mobile Wallet",Completed,135,2,9
182,2026-05-11,"Mobile Wallet",Cancelled,289,1,5
183,2026-03-12,"Debit Card",Completed,289,3,16
184,2026-06-01,Cash,Completed,283,1,6
185,2026-04-25,Cash,Completed,161,1,7
186,2026-03-11,Cash,Completed,103,1,7
187,2026-01-01,"Credit Card",Completed,43,3,15
188,2026-04-26,Cash,completed,77,3,15
189,2026-06-03,"CREDIT CARD","Completed ",239,1,5
190,2026-05-04,Cash,Completed,158,2,12
